text,label
A cute niya umiilaw nman siya. I will order again para mas lalo maliwanag.,1
First time order sa shop nato at di ko inakalang Ang Ganda ng mga tela hindi mainit sa katawan. will recommend this shop. sa uulitin pag may extra ulit. Sakto lang Yung price sa mga item.,1
Maganda naman sya mas malaki lang sa ineexpect ko nagystuhan naman nung nagpabili wala syang choice.,1
All goods na tester q 1. 2v ngalang pro ok Naman charge nalang mamaya tnx sa seller good condition manam alang tupi maganda pag ka package next tym ulit nalimutan q mag order Ng AAA para sa tester q hehehe,1
hindi sya anti rad mas lalong masisira mata nyo. blurred vision and masakit sa ulo try nyo muna mag search bago kayo bumili ng anti rad eyeglasses sa online,0
Malamig yung hangin kahit hindi malamig na tubig o walang ice. Pero syempre mas malamig yung hangin kung may ice. Sana magtagal. Good quality. Will order again,1
Arrived today ang bilis nya dumating thank youuuuu may ganito ako before na wala lang yung brush kaya bumili nalang ako ulit ng complete set,1
"Two stars only, so sad the one in pink color is not functioning. Hindi gumagana. Sira talaga. Hindi man pwede buksan at testengan habang nariyan pa ang rider.",0
Nalaglag lang pala sa loob mg Buble rap in isa. Pwd na,0
Wrong color design. Sana kung di na available yung black mag message namn kayo if ano available. Desisyon yarrrnnn? Kakainis ganitong seller.,0
August 2024 pa ang expiration date! Buy 1 take 1 kaya anlaki ng natipid ko. Salamat unilever!,1
Kakaunti laman walang polvoron at yung letter then yung toy ata yon hindi sya violet ibang kulay kaya nga ako pumili ng violet kasi yun ang gusto tapos di ganun yung dumating. Sadlyf ang pag bibigyan ko neto HAHAHA,0
thank you! got my order at may pafree pang sabon sana effective yung product sakin at order ulit ako pag paubos na sa rider thank you kahit napag intay kita di ko alam natawag ka pala eh,1
"Bat ito yung dumting hindi naman to ang order ko tumbler, naman ang order ko alam nyo ba nagbabayad naman ako nang sakto bat wag nyo kaying ganyan manluko ng costumer nyo.",1
Super cute at ang lakas! Gustong gusto ng mga kids. Thank you so much.,1
Wrong size ang sinend sakin na pink. I ordered 36- 37 but 38- 39 ang dumating.,1
"Kala ko basura ung ideniliver s akin. Yuping yupi ung box. S unang tingin mo, wasak n ung laman ng box. Buti at working parin ung item.",0
Sira ang item! Vacuum hose sira. Automatic Water pump hose wala! tagal pa nag replacement 12 days na akong nag aantay!,0
i hope na di sha maiinit sa katawan at presko makapal kase pero magandaaaa i love it and may perfume sya na kasama para mabango yung damit,1
"Working naman po sya. Maliit pala sya as what I expected. It works, pero minsan lang magkacrash. Na try ko google chrome magkacrash sya minsan. Yung netflix sa browser ko lang na try kasi di pwede sa apps. Okay naman yung youtube. Di ko pa natry ibang apps kasi youtube lang naman at netflix palagi.",1
Murang Halaga Mabilis Ship out Ang ganda ng Item Pasok at Swak sa Budget Oorder ulit ako Bagay na bagay sa mga sneaker shoes,1
very nice as always ilang beses na ako naka order dito na shop ng mga ganitpmg ribbon kaso yung off white parang yellow hindi siya off white sad pero still thank you seller,1
excelllent yung quality. legit! ang tagal bago na process un orders pero mabilis nmn dumatng. yun nga lang sa 22pcs na orders ko 14 lang un dumating. ang mahal ng shipping. although responsive naman c seller and nag offer na sya ng refund. update. ok na un refund. thanks,1
Madumi at hindi ganun ka ganda yung socks. Ito lang hindi ko nagustuhan sa order ko. Pero okay naman lahat.,0
So upset. oo Mura lng pero dpt b sira? oo wla nmng perpekto pero sna chinicheck mo seller. tgal hinintay tpos gnto lng Buti pla isa lng inorder ko. d manlng nasiyahan. sna nmn pkiayos d k din responsive. nku Po lht nsayo na.,0
Edit ko na. Yung dalawang items wala pang 1 week sira na ayaw na mag ilaw. baka na over charge. 6 binili ko dalawa ang not quality. patay ang ilaw pag walang tao,1
Okay naman yung item so far medyo pahirapan lang pag connect ng netflix at hindi responsive si seller. Magtatanong ka pero tanong rin isasagot sayo. Thanks!,1
Ok na po sana lahat ng item na order ko. d2 lng ako na dis apoint sa mini speaker. kahit ka chacharge lng po battery low agad. music pa naman sana para sa baby ko habang natutulog.,0
Okay ang packaging. balot na balot. walang spill. maganda sa skin talaga. nagustuhan ng mama ko. salamat seller and sa rider.,1
This is my second order in this shop Because this shop is affordable items lalo nat ikaw ay isang student at nag si sell din the best ang shop nato. I hope na di magbabago yong price ng products. Safe naman yong packaging niya pero may dalawang damaged lang lumabas yong tinta ng pen. And yong ibang pen para siyang na dislocate para siyang nabali. I hope sa next order ko ok na,1
"Medyo manipis, nevertheless maganda parin naman yjng quality. Ang maganda lang is super accommodating yung seller and naka pack ng maayos yung item.",1
Magandaa kaso anlaki pala nyaa bulky yung itsura ng watch,1
"Maganda naman sana sya ang kasu sira yung hawakan, may punit din kunti.",0
Gumana Naman medyo mabilis Ang shipment Yung Netflix di gumana pero nagawan ng paraan dahil sa China nagaling I don' t expect na may update to 8 or higher,1
Haha nag expect talaga ako kala ko may frebie na malaki ng halaga pero alam ko den naman na baka joke lang at joke nga nakuha ko is yung pang ipit lang nila or pang tali hahahahahhaaha expectation vs reality,1
Grabe not satisfied costumer. why naman di gumagana pinadala nyo sakin? nagchat ako na sana okey ang dumating. para lang ako nagtapon ng 159,0
Ok yong mic gumagana pero yong spiltter hindi sayang akala kopanaman pwede kona ma gamit pero over all yong mic ang pinaka importante,1
Thank you Beyond the box. Bilis nila mag ship kaso ang tagal ni Shopee Xpress mag deliver. I should have placed my order sa Lazada hindi sana inabot ng 10days. Baka 2days lang kay Lazada.,1
Sira ung item ndi fumagana walang tunof kahit full charge hahay syang ang pero ko,1
tapos Yung puting bag Naman okay lang Naman sya bet Ng KAPATID ko rin pero di ko inakala manipis pala sakto sa presyo,1
Ang bilis lang malowbat. d man lang makapuno ng isang phone Tsk D ku sha ni re re commend,0
Sakto sa hinahanap kong tool for my new business venture.,1
sunog agad ung pad nyo no ba yan ka2rating lang kanina sunog agad vaper ako alam ko set up ausin nyo product nyo kalusugan ang nakataya dto! buti my xtra ung pamangkin ko na pad binigyan nya na lang ako la na talaga legit sa panahon ngaun!,0
"maganda sya kase may salicylic acid and also niacinamide which is nakakahelp talaga sa amoy lang talaga ako hindi satisfied pero okay naman product na to kase dermatologist tested. edit: super effective weeks palang makikita mo na, natuyo agad pimps ko i will order again!",1
HAHAHAHA nakakatawa lang na okay sana yung product kaso gusto lang naman sama isuot na ehh biglang putol agad HAHAHA just received the product and hindi ko man lang maisuot to HUHUHU sayang.,0
Thank you thank you seller super good item and no damage sobrang inigatan gustong gusto ng anak ko at sakto sa araw ng online class,1
