text
"My album was packed really well, it came with a corrugated box and some bubble wrap; really excellent packaging!! The seller is very accommodating as well. Thank you so much dear seller! Will definitely order again next time🤍"
"Appearance:The item is new Quality:Aside from some minor dents, it is in good condition Suitability:Exactly as advertised  The item arrived in good condition, packed in a cardboard box & bubble-wrap. There were dents on the album but it's understandable since the box is kinda thin."
Quality:⭐⭐⭐⭐⭐ Appearance:⭐⭐⭐⭐⭐ Suitability:⭐⭐⭐⭐⭐  The Album arrived in mint condition and early as expected.. very secured.. salamat seller .. manifested talaga .. nkuha q yung gusto q 😍😍😍.. will order again soon .. ☺️☺️☺️
"Quality:10/10 Appearance:10/10 Suitability:10/10  expergo albums and lily limited edition has finally arrived!! the albums look sooo beautiful, especially the lily canvas 🤍 order was packed very safely and securely :)"
Good quality. Well-packaged. Item shipped on-time. Sure na sure will order again. One of the best shops pagbilhan ng album.
album arrived safely and was packed securely. no missing items from my package and even came with cute freebies from the seller. highly recommend this store as they have affordable prices and good range of albums !
Appearance:10/10 Quality:10/10 Suitability:10/10  Thank you seller napauwi nang maaga yung bias ko *iloveyou you Kyujin 🥹🫶🏻 sobrang secured yung packaging niya may freebies pa very accommodating din si seller deserve ng shop na to ng 5star... I highly recommend this shop po order na kayo huhu... Naway uwian po kyo ng bias niyo 😔💖
"Quality:10/10 big wave Suitability:great Appearance:nmixx change up super ganda  swerte puro bias ko dumating, and fast delivery two weeks after ready to be dumating agad itong sa nmixx"
Suitability:⭐⭐⭐⭐⭐ Quality:⭐⭐⭐⭐⭐ Appearance:⭐⭐⭐⭐⭐  The album was received in mint condition and earlier than expected.. will order again soon .. 😍😍😍
Appearance:Great Quality:Great Suitability:Great  The album looks amazing but the photocards are a bit damaged. Specially the pob because it is like torn but still looks good since its is kind off not noticeable. Over all it is great since the album was secured because of the packaging!!
Appearance:100 Quality:1000 Suitability:10000  No issues so far
"Quality:9/10 Appearance:8/10  The products packaging was great well bubble rapped and naka box pa, but as mentioned it was damaged. Thanks seller!🫶"
Quality:Very good Suitability:Very good Appearance:Beautiful  Ang cute and maganda yung album
Well packed yung order and very fast ang shipping and deliveryy. Definitely will recommend this shop and ill probably order againn
"Appearance:good Suitability:good Quality:good  Second order with this shop and received the album in safe packaging. Will definitely order again, thank you! :)"
"Appearance:10/10 Quality:10/10 Suitability:10/10  there was a single dent as expected but they were barely noticeable. thankyouu for the haewon pob and sullyoon freebie, seller! 😊"
For the first time I pulled my bias!!! Bae POB is adorable too. Thank you so much Seller 💖 Don’t forget to stream Love Me Like This. 🐳
THANKYOU SA VV SECURED PACKAGING AND TYSM FOR THE HAEWON JYP POB SIYA PA NAMAN BIAS KO. 😭😭🫶🏻🫶🏻🫶🏻
Thank you so much. Requested for a Kyujin portrait and you did. Appreciate it. 😀.  Wish I get a kyujin photocard in this album
thank youuu! cute talaga ng freebies as always haha ❤️❤️❤️
Quality:Damaged Appearance:Canvas Ripped Bae Canva Crumpled  The picture seller sent to me of damage was not the same as the Product. The mindent was not compared to what I received it was damaged and unrecoverable. I did not ask for a refund but I am disappointed with my product I received. :(
Appearance:jinni Suitability:miss Quality:you  backstabber
inuwian po ako ng bias ko!!! AAAAAAAAA
